 (아는 건 별로 없지만) 가족입니다 / My Unfamiliar Family,2020,16,"As people get older, they have less time to spend with their families and separately live their own lives. They become to meet someone who they share their time, feelings, and even their secrets. Under this circumstance, the family becomes like strangers and people in relationships become like family.Kim Eun Hee (Han Ye Ri) is the second daughter in a family and she works at publishing company. She is tender, thoughtful and easily trusts people.","[""Han Ye Ri as Kim Eun Hee"", ""Choo Ja Hyun as Kim Eun Joo"", ""Kim Ji Suk as Park Chan Hyuk"", ""Jung Jin Young as Kim Sang Sik"", ""Won Mi Kyung as Lee Jin Sook"", ""Shin Jae Ha as Kim Ji Woo""]",""" Family""",,
 0교시는 인싸타임 / 0节课是合群人士时间 / Social Savvy Class 101,2024,8,"Kim Ji Eun (Kang Na Eon) is a social outcast who longs to be part of the popular crowd at her high school. Another student, Kang Woo Bin (Kim Woo Seok), a top student and trainee at a major entertainment agency, seems to have everything Ji Eun wants – he’s admired by everyone, even the popular kids, for his good looks and academic prowess. However, he’s hiding a secret that he must protect at all costs. One day, Ji Eun comes across a phone that isn’t hers, only to discover it grants her admin access to the anonymous community app “Insider Time,” giving her backend access to everyone’s darkest confessions. When Ji Eun and Woo Bin’s paths cross, can Woo Bin manage to keep his secrets hidden – and will these opposites find a way to meet in the middle?","[""Kim Woo Seok as Kang U Bin"", ""Kang Na Eon as Kim Ji Eun"", ""Son Dong Pyo as Mo Bong Gu"", ""Choi Geon as Lee Dong Min"", ""Han Chae Rin as Min Seol Hui""]",""" Comedy, Romance, Youth""",,
 17세의 조건 / Seventeen-Year-Old’s Condition,2019,2,"This drama follows the pain and growth of 17-year-old Go Min Jae and Ahn Seo Yeon.Go Min Jae (Yoon Chan Young) is an ordinary, male high school student. He doesn’t talk much and he has a bit of a sensitive personality. He gets good grades and doesn’t cause trouble. Meanwhile, Ahn Seo Yeon (Park Si Eun) attends the same high school as Min Jae. They also graduated from the same middle school. She is an ordinary, female high school student. Two years ago, her parents divorced. Since then, she has lived with her mother.","[""Yoon Chan Young as Go Min Jae"", ""Park Si Eun as Ahn Seo Yeon""]",""" Melodrama, Romance, Youth""",,
 18 어게인 / Eighteen Again,2020,16,"Jung Da Jung (Kim Ha Neul) is married to 37-year-old Hong Dae Young (Yoon Sang Hyun). They have have 18-year-old son and daughter. Jung Da Jung works hard as a rookie announcer and she has a warm heart. She becomes completely fed up with her husband and is unable to deal with him anymore. Hong Dae Young got fired from his job and he is looked down upon by his family. Jung Da Jung hands him divorce papers.Meanwhile, Hong Dae Young looks at himself as an ordinary jobless middle-aged man. He regrets his life. At that moment, his body changes into that of an 18-year-old year old person, while his mind is still that of his 37-year-old self. Back in his teenage days, Hong Dae Young (Lee Do Hyun) was an excellent basketball player and also popular. Now, with his regained 18-year-old body, he changes his name to Go Woo Young and begins to live a new life.","[""Kim Ha Neul as Jung Da Jung"", ""– Han So Eun as Da Jung (teen)"", ""Yoon Sang Hyun as Hong Dae Young"", ""– Lee Do Hyun as Hong Dae Young (teen)"", ""Lee Do Hyun as Go Woo Young"", ""Kim Yoo Ri as Ok Hye In"", ""Wi Ha Joon as Ye Ji Hoon"", ""Kim Kang Hyun as Ko Duk Jin"", ""Lee Mi Do as Choo Ae Rin"", ""Noh Jung Ui as Hong Shi Ah"", ""Rye Un as Hong Shi Woo""]",""" Romance, Comedy, Fantasy""",,
 20세기 소년소녀 / 20th Century Boy and Girl,2017,32,"The heartwarming romantic comedy is about the friendship and love lives of three single virgins born in 1983. Their romantic lives begin when the boy they liked in their youth shows up one day. They live in Oksu-dong in rundown apartments, and the warm human drama will be about neighborly affection, and the meaning of home, family, and friendship.",[],""" Romance, Comedy""",,
 24시 헬스클럽 / Pump Up the Healthy Love,2025,12,"Still smarting from a painful breakup, travel agency manager Lee Mi Ran (Jung Eun Ji) wants to turn over a new leaf. A total fitness newbie, she finds herself joining an unassuming 24-hour gym run by Do Hyeon Joong (Lee Jun Young), a former top bodybuilder. After winning one of bodybuilding’s top prizes, Hyeon Joong vanished from the professional fitness scene. But despite the many challenges of running a gym in the modern world, he remains uniquely committed to his craft. Mi Ran finds herself drawn to Hyeon Joong’s dedication to the health and well-being of his gym’s members. As she begins to follow his fitness advice, a deeper bond begins to form between them. Could Mi Ran’s fitness journey lead her and her new coach to a new, romance-filled chapter of life?","[""Lee Jun Young as Do Hyeon Jung"", ""Jung Eun Ji as Lee Mi Ran""]",""" Comedy, Romance""",,
 2반 이희수 / Heesu in Class 2,2025,10,"Hee Su’s (Ahn Ji Ho) life revolves around his best friend (and secret crush) Chan Young (Cho Jun Young), to the extent that his classmates know him as “Chan Young’s friend” instead of by his own name. He’s content with helping Chan Young with whatever he needs, from providing moral support or listening to his girl problems, as long as he can stay by Chan Young’s side. But one day, Hee Su suddenly finds himself as the school’s new advice expert, pushing him into the center of attention – but he doesn’t know how he can give anyone advice when he can’t even help himself.","[""Ahn Ji Ho as Lee Hee Su"", ""Lee Sang Jun as Kim Seung Won"", ""Cho Jun Young as Joo Chan Young"", ""Kim Do Yeon as Choi Ji Yu"", ""Jeon Yeong In as Shin Ho Sik""]",""" BL, Romance, Youth""",,
 365: 운명을 거스르는 1년 / 365: Repeat the Year,2020,24,"A story of 10 people who get the chance to go back to one year ago and change their destiny, But they are involved in mysterious events and face a destiny they never expected. Ji Hyung Jo (Lee Joon Hyuk) used to be part of the traffic police but was promoted when he arrested a wanted criminal. Shin Ka Yun (Nam Ji Hyun) is a webtoon writer called “Hidden Killer”. She experiences a sudden incident. Ka Yun along with Hyung Jo and eight others get the chance to “reset” their lives.","[""Lee Joon Hyuk as Ji Hyung Jo"", ""Nam Ji Hyun as Shin Ka Yun"", ""Kim Ji Soo as Lee Shin""]",""" Thriller, Fantasy, Mystery, Crime, Time-travel""",,
 38 사기동대 / 38 Task Force,2016,16,"Under South Korea’s tax code, Article 38 is the elephant in the room, as the country’s richest people and corporations always find ways around it. Tasked with throwing the book at these corrupt robber barons, special police force Squad 38 gets down and dirty with tax evaders by using their own schemes against them.",[],""" Crime, Comedy""",,
 3인칭 복수 / Revenge of Others,2022,12,"When she was a teenager, Ok Chan-mi used to be a shooter for the high school team. One day, her twin brother suddenly died. She tries to find the truth about his death, and she gets involved with Ji Soo-heon. He sets out to avenge the students who bullied him.","[""Shin Ye Eun as Ok Chan Mi"", ""Lomon as Ji Soo Heon"", ""Seo Ji Hoon as Seok Jae Beom"", ""Chae Sang Woo as Ki Oh Sung"", ""Lee Soo Min as Gook Ji Hyun"", ""Jung Soo Bin as Tae So Yeon""]",""" Thriller, Mystery""",,
 49일 / 49 Days,2011,20,"Bright, bubbly Ji Hyun has it all—wealthy, adoring parents; a devoted fiance; and a great best friend. On the other side of town, Yi Kyung is thinking of ending it all. When a chain of events set in motion by Yi Kyung leads to Ji Hyun’s death shortly before her wedding, a reaper from heaven intervenes to set things straight. For Ji Hyun to have a second chance at life, she must take over Yi Kyung’s body and find three people outside of her family who will cry sincere tears of grief for her—in just 49 days. As Ji Hyun sets out to find these people, she discovers that her perfect life may not have been so perfect after all. These two women may just save each others’ lives as they discover the difference between true and false love and begin to come alive again in this gripping tale.","[""Lee Yo Won as Song Yi Kyung"", ""– Jo Min Ah as Yi Kyung (young)"", ""Nam Gyu Ri as Shin Ji Hyun"", ""– Kim Yoo Bin as Ji Hyun (young)"", ""Jo Hyun Jae as Han Kang"", ""Bae Soo Bin as Kang Min Ho"", ""Jung Il Woo as scheduler / Song Yi Soo"", ""Seo Ji Hye as Shin In Jung""]",""" Fantasy, Romance, Melodrama""",,
 "60일, 지정생존자 / Designated Survivor: 60 Days",2019,16,"The drama is based on 2016 ABC/Netflix TV series “Designated Survivor“. It’s tell the story of a bomb going off during a presidential speech, the terror attack causing devastation and leaving the head of the Ministry of Environment, 12th person in the line of succession, in charge to run the country. He must serve as the acting president for 60 days and protect his country and family from various forces.Park Moo Jin (Ji Jin Hee) is a former professor of chemistry and now holds the Minister of Environment position. He doesn’t have ambition, personal beliefs or political sense as a politician. One day, high ranking government officers are gathered for the President’s State of the Union address. An explosion then takes place, killing many government officials, including the President. He is the highest ranking government officer left alive. He doesn’t want the position, but he must sit as the acting president for 60 days. He chases after the person or group responsible for the explosion and he grows as a national leader.","[""Ji Jin Hee as Park Moo Jin"", ""Kang Han Na as Han Na Kyung"", ""Heo Joon Ho as Han Joo Seung"", ""Bae Jong Ok as Yoon Chan Kyung"", ""Lee Joon Hyuk as Oh Young Suk""]",""" Political, Thriller""",,
 7인의 부활 / 七人的复活 / The Escape of the Seven: Resurrection,2024,16,"Through the “Bobble Incident” that started the revenge and ended in blood, Do Hyuk became the culprit and lost his life. However, he didn’t die. Do Hyuk returns with seething vengeance to expose Matthew’s true identity to everyone. Kang Ki Tak and the unknown aide who goes by “Medusa” appear to help him. Matthew has no intention of stopping. With his fake identity, Matthew has the whole world crazy about him. He endeavors to be the epitome of his phony identity and take over Sungchan Group, the company his father raised with his life. Only then will his revenge be complete. The seven wicked associates will now regroup to play the game of revenge that has reset in desperation. Some will be out for revenge, some for power, and some will hide their true goal in a new game where they will deceive and betray each other. How will the fates of the Seven reborn from lies end?","[""Uhm Ki Joon as Matthew Lee"", ""Hwang Jung Eum as Geum Ra Hee"", ""Lee Joon as Min Do Hyuk"", ""Lee Yoo Bi as Han Mo Ne / Han Hui Su"", ""Shin Eun Kyung as Cha Joo Ran"", ""Yoon Jong Hoon as Yang Jin Mo"", ""Jo Yoon Hee as Go Myung Ji"", ""Jo Jae Yoon as Nam Chul Woo"", ""Yoon Tae Young as Kang Ki Tak"", ""Lee Jung Shin as Hwang Chan Seong""]",""" Thriller, Mystery""",,
 7인의 탈출 / The Escape of the Seven,2023,17,"A girl disappears from the world due to the Bell Incident, and seven wicked people are involved in the incident. Seven villains, including the CEO of a drama production company, Geum La Hui, a gangster, Min Do Hyuk, a girl group trainee, Han Monet, CEO of entertainment, Yang Jin Mo, a teacher, Ko Myung Ji, a detective, Nam Chul Woo, and a gynecologist, Cha Ju Ran. They will play a game designed by convict Matthew Lee for seven charges of greed, betrayal, falsehood, distortion, incitement, envy, and indulgence. In order to escape the deity’s punishment, the villains cleverly unite and deceive each other. What were the unwashed sins committed by the wicked? How has the fate of a girl changed due to fake news that began with selfishness and desire? Who will be able to survive this bloody revenge?","[""Uhm Ki Joon as Matthew Lee"", ""Hwang Jung Eum as Geum Ra Hee"", ""Lee Joon as Min Do Hyuk"", ""Lee Yoo Bi as Han Mo Ne"", ""Shin Eun Kyung as Cha Joo Ran"", ""Yoon Jong Hoon as Yang Jin Mo"", ""Jo Yoon Hee as Go Myung Ji"", ""Jo Jae Yoon as Nam Chul Woo"", ""Lee Deok Hwa as Bang Chil Sung"", ""Yoon Tae Young as Kang Ki Tak""]",""" Thriller, Mystery""",,
 7일의 왕비 / Queen for Seven Days,2017,20,"A tragic love story between real life King Jungjong (Yun Woo Jin) and his wife Queen Dangyeong (Park Min Young), who was crowned and deposed from the throne within seven days.",[],""" Historical, Romance""",,
 99억의 여자 / Woman of 9.9 Billion,2019,32,"This drama is a story about a woman who caught up with $ 9 billion by chance and fights against the world.Jung Seo Yeon (Jo Yeo Jung) happens to get 9.9 Billion won ($9 million USD) and she fights against the world. Jung Seo Yeon and her family suffered from violence by her father. She left their home and started a new life with an affectionate man, but her happy life ended. She struggles to look for happiness in her life. Meanwhile, Kang Tae Woo (Kim Kang Woo) is an ex-detective. He attempts to reveal the truth behind the death of his younger sibling.","[""Jo Yeo Jung as Jung Seo Yeon"", ""Kim Kang Woo as Kang Tae Woo"", ""Oh Na Ra as Yoon Hee Joo"", ""Lee Ji Hoon as Lee Jae Hoon"", ""Jung Woong In as Hong In Pyo""]",""" Romance, Comedy, Thriller""",,
 D.P. 시즌2 / D.P. 2,2023,6,"After a shocking tragedy turns their lives upside down, Jun-ho and Ho-yeol return to capture more military deserters — only to face unexpected danger.","[""Jung Hae In as Ahn Joon Ho"", ""Koo Kyo Hwan as Han Ho Yul"", ""Kim Sung Kyun as Park Bum Goo"", ""Son Suk Ku as Im Ji Sup"", ""Kim Ji Hyun as Seo Eun""]",""" Action, Military""",,
 DNA러버 / DNA Lover,2024,16,"Genetic researcher So Jin is obsessed with the belief that genes hold a secret: DNA predestines and designs a person’s life, and there must be a way to find a person’s “true love” through DNA. On Christmas eve, So Jin gets dumped by her boyfriend, and in grief and rage and also drunk, she accidentally sprays hair growth serum on a stranger, Yeon Woo. After the encounter, Yeon Woo’s life starts to fumble and the initial hatred slowly turns into something more like, love.","[""Choi Si Won as Sim Yeon U"", ""Jung In Sun as Han So Jin"", ""Lee Tae Hwan as Seo Gang Hun"", ""Jung Eugene as Jang Mi Eun""]",""" Comedy, Romance""",,
 Dr. 브레인 / Dr. Brain,2021,6,"From visionary filmmaker Kim Jee-woon. Brilliant brain scientist Sewon (Lee Sun-kyun) suffers a horrific personal tragedy. Desperate to uncover what happened to his family, he conducts “brain syncs” with the dead to access their memories for clues.","[""Lee Sun Kyun as Go Se Won"", ""Park Hee Soon as Lee Kang Moo"", ""Seo Ji Hye as Lieutenant Cho"", ""Lee Yoo Young as Jung Jae Yi"", ""Lee Jae Won as Hong Nam Il""]",""" Thriller, Mystery, Sci-Fi, Medical""",,
