My Unfamiliar Family,6.551
Social Savvy Class 101,7.059
Seventeen-Year-Old’s Condition,7.205
Eighteen Again,7.493
20th Century Boy and Girl,7.311
Pump Up the Healthy Love,7.392
Heesu in Class 2,7.411
365: Repeat the Year,7.476
38 Task Force,7.454
Revenge of Others,7.494
49 Days,7.482
"""60일",7.493
The Escape of the Seven: Resurrection,7.451
The Escape of the Seven,7.499
Queen for Seven Days,7.466
Woman of 9.9 Billion,7.239
D.P. 2,7.5
DNA Lover,7.359
Dr. Brain,7.49
Exit,7.498
2023 KBS Drama Special,7.212
2024 KBS Drama Special,7.212
LTNS,7.436
Mr. Plankton,7.496
ONE: High School Heroes,7.471
SKY Castle,7.494
S Line,7.487
VIP,7.487
YG Future Strategy Office,7.364
Yellow,7.5
Mask,7.497
Queen of Masks,6.844
Parole Examiner Lee,7.325
HeartBeat,7.493
Must You Go?,7.113
Gaus Electronics,7.471
Romance in the House,7.475
Family Matters,7.499
What Happens to My Family,6.8
Bridal Mask,7.463
Individual Circumstances,7.412
My Roommate Is a Gumiho,7.495
Queen: Love And War,7.404
The Auditors,7.446
The Potato Lab,7.486
Gab Dong,7.436
Gangnam B-Side,7.484
Seoul Busters,7.467
Stock Struck,6.928
Dog Knows Everything,7.106
Personal Taste,7.494
Individualist Ms. Ji Young,7.494
Hometown Cha-Cha-Cha,7.499
The Deal,7.0
My Secret Vampire,4.846
Lies of Lies,7.499
Investigation Couple,7.483
Investigation Couple 2,7.483
Prosecutor Princess,7.412
Search: WWW,7.412
The Veil,7.497
Cherry Blossoms After Winter,7.486
Head over Heels,7.49
Marriage Contract,7.477
Welcome to Wedding Hell,7.477
Love (ft. Marriage and Divorce),6.333
Marry YOU,6.333
Off the Course,5.433
Gyeongseong Creature,7.498
Gyeongseong Creature 2,7.498
More Than Friends,7.463
The Uncanny Counter,7.498
The Uncanny Counter 2: Counter Punch,7.498
Police University,7.475
Mama Fairy and the Woodcutter,7.331
Gye Baek,7.395
How to Buy a Friend,7.254
High School King of Savvy,7.486
Korea-Khitan War,7.406
Go Back Couple,7.486
Boys Be Brave!,7.438
Ghost Doctor,7.491
The Silent Sea,7.499
High-End Crush,7.433
Artificial City,7.231
The Princess’ Man,7.46
On the Way to the Airport,7.33
Mercy for None,7.496
"It’s Okay, That’s Love",7.494
Beyond Evil,7.496
Monstrous,7.447
Gu Family Book,7.486
Inspector Koo,7.498
Moonlight Drawn by Clouds,7.206
Tale of the Nine Tailed,7.366
Tale of the Nine Tailed 1938,7.457
Ex-Girlfriend Club,7.378
Never Give Up,7.099
Save Me,7.495
Save Me 2,6.551
My Fellow Citizens,7.396
The Killing Vote,7.484
Military Prosecutor Doberman,7.485
Ruler: Master of the Mask,7.36
Good Doctor,7.488
The Good Wife,7.488
Goodbye Mr. Black,6.475
Good Boy,7.494
Good Job,7.432
Good Casting,7.345
Good Partner,6.49
Princess Hours,7.324
The Haunted Palace,7.475
Whisper,7.5
"That Winter, the Wind Blows",7.488
Find Me in Your Memory,7.477
Our Beloved Summer,7.498
That Man Oh Soo,7.406
Just Between Lovers,7.492
Ice Girl,7.462
The Liar and His Lover,7.47
She Was Pretty,6.675
Let Me Introduce Her,7.178
Her Bucket List,7.251
Her Private Life,7.496
My Dearest Nemesis,7.488
Men Are Men,7.488
Worlds Within,7.402
So I Married the Anti-Fan,7.488
Grid,7.471
Green Mother’s Club,7.428
Shadow Beauty,7.441
The Accidental Couple,7.347
Glitch,7.347
The Golden Spoon,7.482
Second Shot at Love,7.438
My Troublesome Star,7.314
The Forbidden Marriage,7.473
Be Positive,7.491
Wok of Love,7.482
Forecasting Love and Weather,7.494
Parasyte: The Grey,7.498
Eccentric Romance,7.305
Miraculous Brothers,7.466
Empress Ki,7.493
Chief Kim,7.493
What’s Wrong With Secretary Kim,7.38
Kissable Lips,7.471
Kokdu: Season of Deity,7.437
Kkondae Intern,7.388
Moonshine,7.468
Boys Over Flowers,7.492
The Secret Romantic Guesthouse,7.444
Flower Crew: Joseon Marriage Agency,7.465
Queen of Divorce,7.412
My Holo Love,7.493
I Picked Up a Star on the Road,7.405
Dreaming of a Freaking Fairytale,7.464
The Pork Cutlets,6.75
Dear X Who Doesn’t Love Me,7.194
The Spies Who Loved Me,7.397
Namib,7.464
Navillera,7.492
Bad Guys,7.185
Bad Guys: City of Evil,7.418
Less Than Evil,7.326
Bad Memory Eraser,7.424
The Good Bad Mother,7.496
Ocean Likes Me,7.384
My 20th Twenty,6.567
My Country: The New Age,7.49
To My Star,7.49
To My Star 2,7.184
My Mister,7.498
Love Scout,7.488
My Dangerous Wife,7.291
Dear Hyeri,7.462
My Liberation Notes,7.495
My Happy Ending,6.551
Nine Puzzles,7.491
Nine: 9 Times Time Travel,7.454
Room No. 9,7.311
Melting Me Softly,6.871
When the Weather is Fine,7.49
Delayed Justice,7.059
Salon de Nabi,7.138
Between Him and Her,5.887
Not Others,7.494
Strangers Again,7.405
Encounter,7.49
Namju Search,5.822
The First Night with the Duke,7.471
"Romantic Doctor, Teacher Kim",7.495
"Romantic Doctor, Teacher Kim 2",7.495
"Romantic Doctor, Teacher Kim 3",7.495
Awaken,7.48
Miss Night and Day,7.488
Moon in the Day,7.471
My Man is Cupid,7.48
Marry My Husband,7.497
Terius Behind Me,7.497
The Time of Fever,7.384
My ID is Gangnam Beauty,7.384
My Girlfriend is a Gumiho,7.492
My Girlfriend is the Man!,6.551
My Friend’s Graduation Ceremony,6.551
When I Was Most Beautiful,7.308
Way Back Love,7.455
Lie to Me,7.5
My Lovely Girl,7.425
Dr. Park’s Clinic,6.817
Introverted Boss,7.486
Tomorrow,7.498
Tomorrow With You,7.48
So Not Worth It,7.48
Cantabile Tomorrow,7.411
The Girl Who Sees Smells,6.4
I Hate You Juliet,7.377
You Are My Spring,6.551
Are You Human Too?,7.492
Reflection of You,7.438
The Time We Were Not In Love,7.438
Love All Play,5.198
Rookie Cops,7.48
I Wanna Hear Your Song,7.39
Let Me Be Your Knight,7.396
A Time Called You,7.496
Where Your Eyes Linger,7.489
You’re All Surrounded,7.481
Heartstrings,5.3
Numbers,7.439
No Way Out: The Roulette,7.433
Oh My Ghost Clients,7.464
Nokdu Flower,7.388
My Sweet Mobster,7.482
Queen of Tears,7.482
Dazzling,6.551
New Love Playlist,4.944
New Normal Zine,4.944
Newtopia,7.497
Iron Family,7.471
Once Again,7.471
Reunited Worlds,7.44
"Fly, again",5.783
Dark Hole,7.456
Shut Up Flower Boy Band,7.455
Doctor Stranger,7.492
Doctor Cha,7.488
Doctor Detective,7.441
Dr. Frost,7.265
Doctor Prisoner,6.551
Doctor Lawyer,7.464
Doctors,7.483
Doctor Slump,7.495
Angel’s Last Mission: Love,7.493
No Mercy,5.106
To the Moon,5.82
The Sweet Blood,7.358
The Running Mates: Human Rights,6.355
Dali and Cocky Prince,7.487
River Where the Moon Rises,7.456
Chicken Nugget,7.494
Tastefully Yours,7.491
Scripting Your Destiny,7.491
Your House Helper,7.355
If You Wish Upon Me,7.485
While You Were Sleeping,7.5
Grand Prince,7.373
Love in the Big City,7.36
Jackpot,7.499
Sell Your Haunted House,7.482
Jewel in the Palace,7.494
Dae Jang Geum Is Watching,7.116
Agency,7.46
The Game: Towards Zero,7.435
The Glory,7.499
The Lover,7.48
The Road: Tragedy of One,7.111
The 8 Show,7.111
The K2,7.497
The King: Eternal Monarch,7.498
The Fabulous,7.481
The Package,7.441
W,7.496
The King 2 Hearts,7.481
My Husband Oh Jak Doo,7.386
Do Do Sol Sol La La Sol,7.49
Goedam,7.479
Lovestruck in the City,7.494
Song of the Bandits,7.489
Dokgo Rewind,7.346
For Eagle Brothers,7.449
Money Flower,7.449
The Return of Iljimae,7.285
"Please Come Back, Mister",7.46
The Whirlwind,7.465
Neighborhood Lawyer Jo Deul Ho,7.208
Neighborhood Lawyer Jo Deul Ho 2: Crime and Punishment,7.208
When the Camellia Blooms,7.492
Dong Yi,7.488
The King of Pigs,7.482
Never Twice,7.301
Brain Works,7.415
Twenty Again,6.551
Duel,7.5
Dream High,7.493
Dream High 2,7.493
D-Day,7.431
The Empire,7.431
Dear My Friends,7.447
Dear.M,7.447
D.P.,7.497
Delivery Man,7.432
Sing My Crush,7.438
Entertainer,5.991
Just Dance,7.233
Another Miss Oh,7.489
Unexpected Heroes,4.593
Radio Romance,7.473
Mother and Mom,6.5
Live,6.5
Live On,7.458
Liar Game,7.488
Life,7.499
Life on Mars,7.499
Racket Boys,7.499
Girls’ Generation 1979,7.268
I Am a Running Mate,7.177
Love Mate,7.45
Love & Wish,7.5
Love Again,7.487
Lovely Horribly,7.411
Run On,7.495
Leverage,7.495
Level Up,7.495
Race,7.498
Romance by Romance,7.498
The Villain of Romance,5.897
I Need Romance 3,7.436
Romance Is a Bonus Book,7.497
I’m Not a Robot,6.551
Law School,7.492
Loss Time Life – The Last Chance,7.492
The Impossible Heir,7.475
Rugal,7.479
L.U.C.A.: The Beginning,7.452
Nobleman Ryu’s Wedding,7.43
Legal High,7.488
Remember – War of the Son,7.478
Reset,7.458
Rich Man,7.492
Return,7.481
Miss Ripley,7.208
"Link: Eat, Love, Kill",7.485
The Witch,7.5
Becoming Witch,7.195
Mirror of the Witch,7.444
The Witch Store Reopens,6.622
The Witch’s Diner,7.371
Witch Yoo Hee,7.259
Witch’s Court,7.46
Witch’s Love,7.428
Madame Antoine,7.436
Lies Hidden in My Garden,7.448
Mother,7.5
Devilish Joy,7.453
Magic School,6.923
Mask Girl,7.497
Maestra: Strings of Truth,7.392
Mouse,7.498
The Sound of Your Heart: Reboot (Season 1),7.344
The Sound of Your Heart: Reboot (Season 2),7.344
The Sound of Your Heart,7.344
Horse Doctor,7.358
My Name,7.499
My Demon,7.498
My Sweet Dear,7.454
My Only Love Song,7.467
My Youth,7.413
My Princess,7.468
My Girl,7.195
Mine,7.499
Last Minute Romance,7.452
Mad Dog,7.478
Mary Stayed Out All Night,7.465
Warm and Cozy,7.455
Heading to the Ground,6.571
Naked Fireman,7.269
Man to Man,7.497
Manhole: Feel So Good,7.282
A Head Coach’s Turnover,4.567
Money Game,7.431
"At a Distance, Spring is Green",7.431
Mary Kills People,7.494
Memorist,7.482
Hunter with a Scalpel,7.442
Mental Coach Jegal,7.113
Melancholia,7.468
Melo Movie,7.492
Be Melodramatic,7.486
Meloholic,7.365
Boar Hunt,6.748
Nothing Uncovered,7.347
Deserving of the Name,7.281
Modern Farmer,7.411
The Lies Within,7.455
Like Flowers in Sand,7.461
A Model Family,7.481
Taxi Driver,7.496
Taxi Driver 2,6.551
The Good Detective,7.482
The Good Detective 2,7.482
Motel California,7.452
Here’s My Plan,7.244
Monstar,7.396
Bargain,7.479
Moebius: The Veil,7.014
Moorim School,7.461
Lawless Lawyer,7.461
Move to Heaven,7.498
Moving,7.498
Warrior Baek Dong Soo,7.463
Something’s Not Right,7.351
Castaway Diva,7.493
Heartless City,7.451
Tinted With You,7.448
Decoy,7.418
Café Minamdang,7.488
You’re Beautiful,7.495
Beauty and Mr. Romantic,7.303
Birth of a Beauty,7.303
Miracle,7.498
Marry Him If You Dare,7.378
Mimicus,6.96
Misaeng,7.491
"Miss Ma, Nemesis",7.489
Miss Hammurabi,7.489
Class of Lies,7.47
Mr. Sunshine,7.496
Mr. Heart,7.481
Mistress,7.5
Misty,7.471
She Knows Everything,7.049
Missing: The Other Side,7.481
Missing: The Other Side 2,7.481
Missing Nine,7.438
Our Unwritten Seoul,7.492
You Drive Me Crazy!,7.069
On the Verge of Insanity,7.492
Secret Love Affair,7.461
Crushology 101,7.433
King Maker: The Change of Destiny,7.254
The Painter of the Wind,7.499
The Wind Blows,7.488
"Cheat on Me, If You Can",7.424
Babel,7.126
Bite Sisters,7.225
One Day Off,7.363
A Piece of Your Mind,7.477
